t_s,i,adc
0.2250679,230,385
0.22613819999999984,231,385
0.22710269999999966,232,385
0.22810219999999992,233,386
0.2291116999999998,234,386
0.2301409999999997,235,385
0.2311323999999999,236,384
0.23211689999999985,237,385
0.23314729999999972,238,385
0.2341641999999995,239,386
0.23517039999999945,240,386
0.23617519999999992,241,385
0.23718099999999964,242,385
0.23818439999999974,243,385
0.2392403999999999,244,386
0.24022339999999964,245,385
0.2412144999999999,246,385
0.24307699999999954,247,386
0.24406980000000011,248,385
0.24508699999999983,249,386
0.2461171000000002,250,386
0.2471148999999997,251,386
0.24810089999999985,252,388
0.2491235999999999,253,387
0.2501407000000002,254,387
0.2511497999999994,255,388
0.2522253000000001,256,387
0.2531850000000002,257,386
0.25417989999999957,258,388
0.2551749999999995,259,387
0.25618359999999996,260,386
0.25719219999999954,261,387
0.25818530000000006,262,386
0.25919369999999997,263,386
0.2602093999999999,264,387
0.26207080000000005,265,386
0.26306799999999964,266,385
0.26406170000000007,267,384
0.2651142000000002,268,385
0.26614309999999985,269,385
0.2671374000000002,270,386
0.26814230000000006,271,385
0.26913819999999955,272,385
0.2701462999999995,273,385
0.2711560999999998,274,388
0.2721507000000001,275,385
0.2741047999999999,276,387
0.27424300000000024,277,386
0.2751796999999998,278,386
0.27618459999999967,279,386
0.27718240000000005,280,384
0.2782152,281,386
0.2792588999999994,282,384
0.28107039999999994,283,384
0.2820865999999995,284,387
0.2830965000000001,285,387
0.2841110999999996,286,386
0.28510860000000005,287,386
0.28611459999999944,288,384
0.2871239999999995,289,385
0.28814159999999944,290,386
0.2891446999999996,291,385
0.29014969999999973,292,385
0.2911470999999999,293,385
0.29220889999999944,294,386
0.2932085999999998,295,385
0.2941861000000001,296,387
0.29519559999999956,297,386
0.2961695999999998,298,386
0.2972570999999995,299,386
0.2982208000000002,300,386
0.3000701000000001,301,387
0.3010685999999998,302,386
0.30210449999999955,303,387
0.30310970000000026,304,386
0.3041035000000001,305,385
0.30511399999999966,306,387
0.30617559999999955,307,385
0.3071275,308,385
0.3081537999999995,309,387
