t_s,i,adc
2.5536817000000003,2325,387
2.554683899999999,2326,389
2.5556775,2327,388
2.5567244000000002,2328,386
2.5585857,2329,388
2.5596031999999997,2330,388
2.5606025,2331,386
2.561642899999999,2332,388
2.562661799999999,2333,388
2.5636504999999996,2334,388
2.5646863999999994,2335,388
2.566575199999999,2336,386
2.5676550000000002,2337,388
2.568606599999999,2338,387
2.5696434999999997,2339,388
2.57066,2340,388
2.5716655,2341,387
2.573558199999999,2342,388
2.5745705999999995,2343,388
2.5755935,2344,388
2.576603199999999,2345,388
2.577643499999999,2346,388
2.578660599999999,2347,388
2.5796849,2348,388
2.5815694999999987,2349,388
2.5825848999999987,2350,386
2.5836287000000002,2351,387
2.5846321000000003,2352,386
2.585640099999999,2353,387
2.5866621,2354,389
2.5876687999999994,2355,389
2.5895496,2356,388
2.5905661999999996,2357,389
2.5916078000000002,2358,389
2.5926264000000003,2359,388
2.5936564000000004,2360,388
2.594704199999999,2361,388
2.5956563999999993,2362,388
2.597564199999999,2363,389
2.5985768999999994,2364,388
2.5995929999999987,2365,388
2.600615099999999,2366,388
2.6016429,2367,387
2.602667199999999,2368,386
2.6036909,2369,388
2.6055586999999996,2370,388
2.606578599999999,2371,387
2.6076610000000002,2372,387
2.6086368999999987,2373,388
2.6096424999999996,2374,388
2.6106613000000003,2375,388
2.6116799000000004,2376,387
2.6135561000000003,2377,388
2.614568199999999,2378,388
2.6155975,2379,388
2.6166167,2380,388
2.6176271,2381,390
2.6186670999999997,2382,389
2.6197070999999994,2383,388
2.621619299999999,2384,388
2.6226047,2385,387
2.6236093999999994,2386,387
2.6246270999999997,2387,388
2.625636,2388,388
2.6266526999999993,2389,388
2.6276522999999994,2390,388
2.6295561000000003,2391,388
2.6305809999999994,2392,388
2.631590299999999,2393,388
2.6326304999999994,2394,387
2.633636899999999,2395,388
2.634690899999999,2396,388
2.6357087000000003,2397,388
2.637562599999999,2398,389
2.6385918999999998,2399,387
2.639600399999999,2400,389
2.6406165,2401,388
2.6416383000000003,2402,388
2.6426669999999994,2403,389
2.643680699999999,2404,388
2.645555999999999,2405,390
2.6465819999999987,2406,387
2.647681499999999,2407,388
2.648625599999999,2408,386
2.6496399999999998,2409,388
2.6506656999999993,2410,388
2.6517011000000004,2411,388
2.653563199999999,2412,388
2.6545910999999993,2413,388
2.6556005000000003,2414,388
2.6566174999999994,2415,386
2.6576370999999988,2416,388
2.658666,2417,388
2.6596795999999987,2418,387
2.6615865000000003,2419,388
2.662586299999999,2420,388
2.663598199999999,2421,387
2.664617699999999,2422,389
2.6656385,2423,388
2.666668099999999,2424,387
2.6677073999999994,2425,388
2.6695610999999992,2426,388
2.6705939999999995,2427,388
2.671600699999999,2428,386
2.6726238,2429,388
2.673639399999999,2430,388
2.6747169,2431,388
2.6756577999999998,2432,387
2.6775471999999993,2433,389
2.6785964,2434,388
2.6796125999999987,2435,387
2.6806172999999998,2436,388
2.681636899999999,2437,387
2.6826663999999987,2438,388
2.6836897000000004,2439,388
2.6855560999999994,2440,388
2.6865898999999995,2441,388
2.6877221999999996,2442,386
