Frame,Centroid_X,Centroid_Y,Movement_X (dX),Movement_Y (dY),Movement (pixels),Original_FPS,Playback_FPS,Actual_Playback_Time_s,Actual_FPS,Actual_Slowdown_Factor
0,369,61,0,0,0,148.45993446373956,30,70.99116635322571,30,4.948664482124652
1,303,65,-66,4,66.12110101926616,148.45993446373956,30,70.99116635322571,30,4.948664482124652
2,344,73,41,8,41.773197148410844,148.45993446373956,30,70.99116635322571,30,4.948664482124652
3,364,83,20,10,22.360679774997898,148.45993446373956,30,70.99116635322571,30,4.948664482124652
4,304,75,-60,-8,60.530983801686226,148.45993446373956,30,70.99116635322571,30,4.948664482124652
5,341,61,37,-14,39.56008088970496,148.45993446373956,30,70.99116635322571,30,4.948664482124652
6,366,64,25,3,25.179356624028344,148.45993446373956,30,70.99116635322571,30,4.948664482124652
7,302,72,-64,8,64.4980619863884,148.45993446373956,30,70.99116635322571,30,4.948664482124652
8,352,82,50,10,50.99019513592785,148.45993446373956,30,70.99116635322571,30,4.948664482124652
9,362,77,10,-5,11.180339887498949,148.45993446373956,30,70.99116635322571,30,4.948664482124652
10,302,63,-60,-14,61.61168720299745,148.45993446373956,30,70.99116635322571,30,4.948664482124652
11,346,62,44,-1,44.01136216933077,148.45993446373956,30,70.99116635322571,30,4.948664482124652
12,361,71,15,9,17.4928556845359,148.45993446373956,30,70.99116635322571,30,4.948664482124652
13,303,81,-58,10,58.855755878248644,148.45993446373956,30,70.99116635322571,30,4.948664482124652
14,354,80,51,-1,51.0098029794274,148.45993446373956,30,70.99116635322571,30,4.948664482124652
15,362,64,8,-16,17.88854381999832,148.45993446373956,30,70.99116635322571,30,4.948664482124652
16,301,62,-61,-2,61.032778078668514,148.45993446373956,30,70.99116635322571,30,4.948664482124652
17,353,69,52,7,52.46903848937962,148.45993446373956,30,70.99116635322571,30,4.948664482124652
18,355,80,2,11,11.180339887498949,148.45993446373956,30,70.99116635322571,30,4.948664482124652
19,303,81,-52,1,52.009614495783374,148.45993446373956,30,70.99116635322571,30,4.948664482124652
20,352,65,49,-16,51.54609587543949,148.45993446373956,30,70.99116635322571,30,4.948664482124652
21,360,62,8,-3,8.54400374531753,148.45993446373956,30,70.99116635322571,30,4.948664482124652
22,300,68,-60,6,60.29925372672534,148.45993446373956,30,70.99116635322571,30,4.948664482124652
23,360,78,60,10,60.8276253029822,148.45993446373956,30,70.99116635322571,30,4.948664482124652
24,351,82,-9,4,9.848857801796104,148.45993446373956,30,70.99116635322571,30,4.948664482124652
25,301,67,-50,-15,52.20153254455275,148.45993446373956,30,70.99116635322571,30,4.948664482124652
26,354,61,53,-6,53.33854141237835,148.45993446373956,30,70.99116635322571,30,4.948664482124652
27,355,67,1,6,6.082762530298219,148.45993446373956,30,70.99116635322571,30,4.948664482124652
28,301,76,-54,9,54.74486277268398,148.45993446373956,30,70.99116635322571,30,4.948664482124652
29,365,83,64,7,64.38167441127949,148.45993446373956,30,70.99116635322571,30,4.948664482124652
30,351,70,-14,-13,19.1049731745428,148.45993446373956,30,70.99116635322571,30,4.948664482124652
31,300,60,-51,-10,51.97114584074513,148.45993446373956,30,70.99116635322571,30,4.948664482124652
32,359,66,59,6,59.30430001273095,148.45993446373956,30,70.99116635322571,30,4.948664482124652
33,349,75,-10,9,13.45362404707371,148.45993446373956,30,70.99116635322571,30,4.948664482124652
34,303,82,-46,7,46.52956049652737,148.45993446373956,30,70.99116635322571,30,4.948664482124652
35,364,71,61,-11,61.98386886924694,148.45993446373956,30,70.99116635322571,30,4.948664482124652
36,350,61,-14,-10,17.204650534085253,148.45993446373956,30,70.99116635322571,30,4.948664482124652
37,302,65,-48,4,48.16637831516918,148.45993446373956,30,70.99116635322571,30,4.948664482124652
38,364,74,62,9,62.64982043070834,148.45993446373956,30,70.99116635322571,30,4.948664482124652
39,343,83,-21,9,22.847319317591726,148.45993446373956,30,70.99116635322571,30,4.948664482124652
40,303,73,-40,-10,41.23105625617661,148.45993446373956,30,70.99116635322571,30,4.948664482124652
41,365,62,62,-11,62.96824596572466,148.45993446373956,30,70.99116635322571,30,4.948664482124652
42,344,64,-21,2,21.095023109728988,148.45993446373956,30,70.99116635322571,30,4.948664482124652
43,304,72,-40,8,40.792156108742276,148.45993446373956,30,70.99116635322571,30,4.948664482124652
44,369,82,65,10,65.76473218982953,148.45993446373956,30,70.99116635322571,30,4.948664482124652
45,341,77,-28,-5,28.442925306655784,148.45993446373956,30,70.99116635322571,30,4.948664482124652
46,301,62,-40,-15,42.720018726587654,148.45993446373956,30,70.99116635322571,30,4.948664482124652
47,368,63,67,1,67.00746227100382,148.45993446373956,30,70.99116635322571,30,4.948664482124652
48,338,71,-30,8,31.04834939252005,148.45993446373956,30,70.99116635322571,30,4.948664482124652
49,309,80,-29,9,30.364452901377952,148.45993446373956,30,70.99116635322571,30,4.948664482124652
50,370,80,61,0,61.0,148.45993446373956,30,70.99116635322571,30,4.948664482124652
51,341,64,-29,-16,33.12099032335839,148.45993446373956,30,70.99116635322571,30,4.948664482124652
52,303,62,-38,-2,38.05259518088089,148.45993446373956,30,70.99116635322571,30,4.948664482124652
53,371,69,68,7,68.3593446428504,148.45993446373956,30,70.99116635322571,30,4.948664482124652
54,331,80,-40,11,41.48493702538308,148.45993446373956,30,70.99116635322571,30,4.948664482124652
55,312,80,-19,0,19.0,148.45993446373956,30,70.99116635322571,30,4.948664482124652
56,369,65,57,-15,58.9406481131655,148.45993446373956,30,70.99116635322571,30,4.948664482124652
57,337,61,-32,-4,32.2490309931942,148.45993446373956,30,70.99116635322571,30,4.948664482124652
58,306,68,-31,7,31.78049716414141,148.45993446373956,30,70.99116635322571,30,4.948664482124652
59,374,78,68,10,68.73136110975832,148.45993446373956,30,70.99116635322571,30,4.948664482124652
60,327,83,-47,5,47.265209192385896,148.45993446373956,30,70.99116635322571,30,4.948664482124652
61,310,67,-17,-16,23.345235059857504,148.45993446373956,30,70.99116635322571,30,4.948664482124652
62,370,61,60,-6,60.29925372672534,148.45993446373956,30,70.99116635322571,30,4.948664482124652
63,331,67,-39,6,39.45883931389772,148.45993446373956,30,70.99116635322571,30,4.948664482124652
64,312,75,-19,8,20.615528128088304,148.45993446373956,30,70.99116635322571,30,4.948664482124652
65,376,83,64,8,64.4980619863884,148.45993446373956,30,70.99116635322571,30,4.948664482124652
66,326,70,-50,-13,51.66236541235796,148.45993446373956,30,70.99116635322571,30,4.948664482124652
67,310,60,-16,-10,18.867962264113206,148.45993446373956,30,70.99116635322571,30,4.948664482124652
68,372,66,62,6,62.289646009589745,148.45993446373956,30,70.99116635322571,30,4.948664482124652
69,325,75,-47,9,47.853944456021594,148.45993446373956,30,70.99116635322571,30,4.948664482124652
70,318,82,-7,7,9.899494936611665,148.45993446373956,30,70.99116635322571,30,4.948664482124652
71,375,73,57,-9,57.706152185014034,148.45993446373956,30,70.99116635322571,30,4.948664482124652
72,324,62,-51,-11,52.172789842982326,148.45993446373956,30,70.99116635322571,30,4.948664482124652
73,314,65,-10,3,10.44030650891055,148.45993446373956,30,70.99116635322571,30,4.948664482124652
74,373,74,59,9,59.682493245507096,148.45993446373956,30,70.99116635322571,30,4.948664482124652
75,320,83,-53,9,53.75872022286245,148.45993446373956,30,70.99116635322571,30,4.948664482124652
76,318,74,-2,-9,9.219544457292887,148.45993446373956,30,70.99116635322571,30,4.948664482124652
77,376,62,58,-12,59.22837157984339,148.45993446373956,30,70.99116635322571,30,4.948664482124652
78,320,64,-56,2,56.0357029044876,148.45993446373956,30,70.99116635322571,30,4.948664482124652
79,321,72,1,8,8.06225774829855,148.45993446373956,30,70.99116635322571,30,4.948664482124652
80,374,82,53,10,53.9351462406472,148.45993446373956,30,70.99116635322571,30,4.948664482124652
81,318,78,-56,-4,56.142675390472796,148.45993446373956,30,70.99116635322571,30,4.948664482124652
82,316,61,-2,-17,17.11724276862369,148.45993446373956,30,70.99116635322571,30,4.948664482124652
83,376,63,60,2,60.03332407921454,148.45993446373956,30,70.99116635322571,30,4.948664482124652
84,315,71,-61,8,61.5223536610881,148.45993446373956,30,70.99116635322571,30,4.948664482124652
85,328,81,13,10,16.401219466856727,148.45993446373956,30,70.99116635322571,30,4.948664482124652
86,373,80,45,-1,45.0111097397076,148.45993446373956,30,70.99116635322571,30,4.948664482124652
87,317,64,-56,-16,58.240879114244144,148.45993446373956,30,70.99116635322571,30,4.948664482124652
88,320,61,3,-3,4.242640687119285,148.45993446373956,30,70.99116635322571,30,4.948664482124652
89,375,70,55,9,55.731499172371095,148.45993446373956,30,70.99116635322571,30,4.948664482124652
90,311,79,-64,9,64.6297145282261,148.45993446373956,30,70.99116635322571,30,4.948664482124652
91,332,81,21,2,21.095023109728988,148.45993446373956,30,70.99116635322571,30,4.948664482124652
92,373,65,41,-16,44.01136216933077,148.45993446373956,30,70.99116635322571,30,4.948664482124652
93,314,62,-59,-3,59.07622195096772,148.45993446373956,30,70.99116635322571,30,4.948664482124652
94,326,68,12,6,13.416407864998739,148.45993446373956,30,70.99116635322571,30,4.948664482124652
95,373,78,47,10,48.05205510693585,148.45993446373956,30,70.99116635322571,30,4.948664482124652
96,309,82,-64,4,64.1248781675256,148.45993446373956,30,70.99116635322571,30,4.948664482124652
97,330,67,21,-15,25.80697580112788,148.45993446373956,30,70.99116635322571,30,4.948664482124652
98,372,61,42,-6,42.42640687119285,148.45993446373956,30,70.99116635322571,30,4.948664482124652
99,310,67,-62,6,62.289646009589745,148.45993446373956,30,70.99116635322571,30,4.948664482124652
100,334,76,24,9,25.632011235952593,148.45993446373956,30,70.99116635322571,30,4.948664482124652
101,370,83,36,7,36.6742416417845,148.45993446373956,30,70.99116635322571,30,4.948664482124652
102,308,70,-62,-13,63.34824385884742,148.45993446373956,30,70.99116635322571,30,4.948664482124652
103,332,61,24,-9,25.632011235952593,148.45993446373956,30,70.99116635322571,30,4.948664482124652
104,371,66,39,5,39.319206502675,148.45993446373956,30,70.99116635322571,30,4.948664482124652
105,306,75,-65,9,65.62011886609167,148.45993446373956,30,70.99116635322571,30,4.948664482124652
106,342,83,36,8,36.87817782917155,148.45993446373956,30,70.99116635322571,30,4.948664482124652
107,369,72,27,-11,29.154759474226502,148.45993446373956,30,70.99116635322571,30,4.948664482124652
108,306,61,-63,-11,63.953107821277925,148.45993446373956,30,70.99116635322571,30,4.948664482124652
109,337,65,31,4,31.25699921617557,148.45993446373956,30,70.99116635322571,30,4.948664482124652
110,368,74,31,9,32.28002478313795,148.45993446373956,30,70.99116635322571,30,4.948664482124652
111,305,83,-63,9,63.63961030678928,148.45993446373956,30,70.99116635322571,30,4.948664482124652
112,342,75,37,-8,37.8549864614954,148.45993446373956,30,70.99116635322571,30,4.948664482124652
113,369,62,27,-13,29.966648127543394,148.45993446373956,30,70.99116635322571,30,4.948664482124652
114,304,64,-65,2,65.03076195155643,148.45993446373956,30,70.99116635322571,30,4.948664482124652
115,344,72,40,8,40.792156108742276,148.45993446373956,30,70.99116635322571,30,4.948664482124652
116,364,82,20,10,22.360679774997898,148.45993446373956,30,70.99116635322571,30,4.948664482124652
117,304,77,-60,-5,60.207972893961475,148.45993446373956,30,70.99116635322571,30,4.948664482124652
118,341,61,37,-16,40.311288741492746,148.45993446373956,30,70.99116635322571,30,4.948664482124652
119,367,63,26,2,26.076809620810597,148.45993446373956,30,70.99116635322571,30,4.948664482124652
120,302,71,-65,8,65.49045732013177,148.45993446373956,30,70.99116635322571,30,4.948664482124652
121,351,81,49,10,50.00999900019995,148.45993446373956,30,70.99116635322571,30,4.948664482124652
122,362,79,11,-2,11.180339887498949,148.45993446373956,30,70.99116635322571,30,4.948664482124652
123,302,63,-60,-16,62.0966987850401,148.45993446373956,30,70.99116635322571,30,4.948664482124652
124,345,61,43,-2,43.04648650006177,148.45993446373956,30,70.99116635322571,30,4.948664482124652
125,362,70,17,9,19.235384061671343,148.45993446373956,30,70.99116635322571,30,4.948664482124652
126,302,79,-60,9,60.67124524847005,148.45993446373956,30,70.99116635322571,30,4.948664482124652
127,355,81,53,2,53.03772242470448,148.45993446373956,30,70.99116635322571,30,4.948664482124652
128,362,65,7,-16,17.46424919657298,148.45993446373956,30,70.99116635322571,30,4.948664482124652
129,300,62,-62,-3,62.07253821135398,148.45993446373956,30,70.99116635322571,30,4.948664482124652
130,352,68,52,6,52.3450093132096,148.45993446373956,30,70.99116635322571,30,4.948664482124652
131,356,78,4,10,10.770329614269007,148.45993446373956,30,70.99116635322571,30,4.948664482124652
