4.482421875000000000e+00,1.479797363281250000e+00,1.495666503906250000e+00,1.659851074218750000e+00
4.485778808593750000e+00,1.484985351562500000e+00,1.491699218750000000e+00,1.657104492187500000e+00
4.486694335937500000e+00,1.484985351562500000e+00,1.481628417968750000e+00,1.658020019531250000e+00
4.488525390625000000e+00,1.484680175781250000e+00,1.495361328125000000e+00,1.657409667968750000e+00
4.488220214843750000e+00,1.487426757812500000e+00,1.487121582031250000e+00,1.657409667968750000e+00
4.489135742187500000e+00,1.488342285156250000e+00,1.485595703125000000e+00,1.658630371093750000e+00
4.488830566406250000e+00,1.489868164062500000e+00,1.479797363281250000e+00,1.658325195312500000e+00
4.487304687500000000e+00,1.489562988281250000e+00,1.481933593750000000e+00,1.657714843750000000e+00
4.486389160156250000e+00,1.487121582031250000e+00,1.472473144531250000e+00,1.658020019531250000e+00
4.485473632812500000e+00,1.486816406250000000e+00,1.473999023437500000e+00,1.658325195312500000e+00
4.481506347656250000e+00,1.487731933593750000e+00,1.473999023437500000e+00,1.658630371093750000e+00
4.479064941406250000e+00,1.484680175781250000e+00,1.469116210937500000e+00,1.657409667968750000e+00
4.476318359375000000e+00,1.485290527343750000e+00,1.470336914062500000e+00,1.657409667968750000e+00
4.473266601562500000e+00,1.481018066406250000e+00,1.473083496093750000e+00,1.658325195312500000e+00
4.471130371093750000e+00,1.479187011718750000e+00,1.466064453125000000e+00,1.657104492187500000e+00
4.466552734375000000e+00,1.480407714843750000e+00,1.465454101562500000e+00,1.657714843750000000e+00
4.465026855468750000e+00,1.473999023437500000e+00,1.468505859375000000e+00,1.656494140625000000e+00
4.461669921875000000e+00,1.474304199218750000e+00,1.464233398437500000e+00,1.658020019531250000e+00
4.460144042968750000e+00,1.466369628906250000e+00,1.466979980468750000e+00,1.657409667968750000e+00
4.458007812500000000e+00,1.466369628906250000e+00,1.457214355468750000e+00,1.657714843750000000e+00
4.456787109375000000e+00,1.462402343750000000e+00,1.468200683593750000e+00,1.659545898437500000e+00
4.455261230468750000e+00,1.466979980468750000e+00,1.469726562500000000e+00,1.657409667968750000e+00
4.454345703125000000e+00,1.466064453125000000e+00,1.474609375000000000e+00,1.657104492187500000e+00
4.454345703125000000e+00,1.458435058593750000e+00,1.465454101562500000e+00,1.658020019531250000e+00
4.455871582031250000e+00,1.458129882812500000e+00,1.473693847656250000e+00,1.657104492187500000e+00
4.456481933593750000e+00,1.458129882812500000e+00,1.480712890625000000e+00,1.656494140625000000e+00
4.458312988281250000e+00,1.457519531250000000e+00,1.484069824218750000e+00,1.658020019531250000e+00
4.465637207031250000e+00,1.458740234375000000e+00,1.484680175781250000e+00,1.658020019531250000e+00
