2.633972167968750000e+00,1.951293945312500000e+00,1.403808593750000000e+00,1.612548828125000000e+00,1.229553222656250000e+00
2.637939453125000000e+00,2.253417968750000000e+00,1.693725585937500000e+00,1.607971191406250000e+00,1.404418945312500000e+00
2.637329101562500000e+00,2.413940429687500000e+00,1.942749023437500000e+00,1.624145507812500000e+00,1.506652832031250000e+00
2.639770507812500000e+00,2.523803710937500000e+00,2.135925292968750000e+00,1.609497070312500000e+00,1.578063964843750000e+00
2.642822265625000000e+00,2.544250488281250000e+00,2.273254394531250000e+00,1.609497070312500000e+00,1.619873046875000000e+00
2.634887695312500000e+00,2.563476562500000000e+00,2.370300292968750000e+00,1.609497070312500000e+00,1.645507812500000000e+00
2.646484375000000000e+00,2.581176757812500000e+00,2.437744140625000000e+00,1.610717773437500000e+00,1.663818359375000000e+00
2.650451660156250000e+00,2.592773437500000000e+00,2.487182617187500000e+00,1.622619628906250000e+00,1.670532226562500000e+00
2.651672363281250000e+00,2.598571777343750000e+00,2.521057128906250000e+00,1.609191894531250000e+00,1.678161621093750000e+00
2.655334472656250000e+00,2.601928710937500000e+00,2.563476562500000000e+00,1.609802246093750000e+00,1.684570312500000000e+00
2.655944824218750000e+00,2.605590820312500000e+00,2.552490234375000000e+00,1.609802246093750000e+00,1.687316894531250000e+00
2.658691406250000000e+00,2.608947753906250000e+00,2.565612792968750000e+00,1.609191894531250000e+00,1.686401367187500000e+00
2.662048339843750000e+00,2.610473632812500000e+00,2.577514648437500000e+00,1.625061035156250000e+00,1.685791015625000000e+00
2.662353515625000000e+00,2.611083984375000000e+00,2.583618164062500000e+00,1.608886718750000000e+00,1.687316894531250000e+00
2.661437988281250000e+00,2.615661621093750000e+00,2.585449218750000000e+00,1.609497070312500000e+00,1.690063476562500000e+00
2.661743164062500000e+00,2.612609863281250000e+00,2.596435546875000000e+00,1.609497070312500000e+00,1.690979003906250000e+00
2.661437988281250000e+00,2.615966796875000000e+00,2.597961425781250000e+00,1.609497070312500000e+00,1.691589355468750000e+00
2.661132812500000000e+00,2.616577148437500000e+00,2.598571777343750000e+00,1.627197265625000000e+00,1.687622070312500000e+00
2.660217285156250000e+00,2.615356445312500000e+00,2.598571777343750000e+00,1.609497070312500000e+00,1.685791015625000000e+00
2.659606933593750000e+00,2.613525390625000000e+00,2.599182128906250000e+00,1.592407226562500000e+00,1.703491210937500000e+00
2.656555175781250000e+00,2.611999511718750000e+00,2.618713378906250000e+00,1.609497070312500000e+00,1.697998046875000000e+00
2.654418945312500000e+00,2.610168457031250000e+00,2.591247558593750000e+00,1.595458984375000000e+00,1.698608398437500000e+00
2.651977539062500000e+00,2.607727050781250000e+00,2.591857910156250000e+00,1.625366210937500000e+00,1.692199707031250000e+00
2.648925781250000000e+00,2.605285644531250000e+00,2.580261230468750000e+00,1.609497070312500000e+00,1.693725585937500000e+00
2.644653320312500000e+00,2.601013183593750000e+00,2.593994140625000000e+00,1.608886718750000000e+00,1.693725585937500000e+00
2.641906738281250000e+00,2.598266601562500000e+00,2.617492675781250000e+00,1.608886718750000000e+00,1.692199707031250000e+00
2.638549804687500000e+00,2.593994140625000000e+00,2.584838867187500000e+00,1.609191894531250000e+00,1.691894531250000000e+00
2.633361816406250000e+00,2.592163085937500000e+00,2.582397460937500000e+00,1.609497070312500000e+00,1.691589355468750000e+00
2.628784179687500000e+00,2.587890625000000000e+00,2.579956054687500000e+00,1.609191894531250000e+00,1.694030761718750000e+00
2.626953125000000000e+00,2.550964355468750000e+00,2.575378417968750000e+00,1.609191894531250000e+00,1.692199707031250000e+00
2.622375488281250000e+00,2.584533691406250000e+00,2.593688964843750000e+00,1.608886718750000000e+00,1.690673828125000000e+00
2.618713378906250000e+00,2.583312988281250000e+00,2.563781738281250000e+00,1.610107421875000000e+00,1.693420410156250000e+00
2.614746093750000000e+00,2.573852539062500000e+00,2.563476562500000000e+00,1.609191894531250000e+00,1.692199707031250000e+00
2.610778808593750000e+00,2.569885253906250000e+00,2.563476562500000000e+00,1.610412597656250000e+00,1.692810058593750000e+00
2.607116699218750000e+00,2.543029785156250000e+00,2.556762695312500000e+00,1.609497070312500000e+00,1.692810058593750000e+00
2.605895996093750000e+00,2.566528320312500000e+00,2.576293945312500000e+00,1.610107421875000000e+00,1.692199707031250000e+00
2.603149414062500000e+00,2.561035156250000000e+00,2.544860839843750000e+00,1.609191894531250000e+00,1.694030761718750000e+00
2.600708007812500000e+00,2.558288574218750000e+00,2.546386718750000000e+00,1.609497070312500000e+00,1.692810058593750000e+00
2.599182128906250000e+00,2.555847167968750000e+00,2.565002441406250000e+00,1.609802246093750000e+00,1.692810058593750000e+00
2.595825195312500000e+00,2.553405761718750000e+00,2.536010742187500000e+00,1.608886718750000000e+00,1.692199707031250000e+00
