3.983154296875000000e+00,1.481323242187500000e+00,1.472167968750000000e+00,1.658020019531250000e+00
3.988647460937500000e+00,1.480712890625000000e+00,1.470947265625000000e+00,1.657409667968750000e+00
3.985900878906250000e+00,1.475830078125000000e+00,1.461791992187500000e+00,1.657104492187500000e+00
3.985595703125000000e+00,1.475830078125000000e+00,1.460571289062500000e+00,1.656799316406250000e+00
3.985290527343750000e+00,1.472167968750000000e+00,1.453552246093750000e+00,1.657104492187500000e+00
3.986206054687500000e+00,1.463317871093750000e+00,1.458435058593750000e+00,1.656799316406250000e+00
3.983459472656250000e+00,1.464233398437500000e+00,1.456298828125000000e+00,1.657714843750000000e+00
3.984375000000000000e+00,1.458740234375000000e+00,1.457519531250000000e+00,1.657714843750000000e+00
3.983764648437500000e+00,1.454162597656250000e+00,1.461791992187500000e+00,1.657409667968750000e+00
3.984375000000000000e+00,1.453247070312500000e+00,1.460571289062500000e+00,1.657714843750000000e+00
3.984680175781250000e+00,1.450500488281250000e+00,1.466064453125000000e+00,1.646118164062500000e+00
3.984069824218750000e+00,1.448974609375000000e+00,1.473388671875000000e+00,1.657409667968750000e+00
3.984985351562500000e+00,1.449279785156250000e+00,1.472778320312500000e+00,1.657104492187500000e+00
3.984985351562500000e+00,1.449890136718750000e+00,1.478881835937500000e+00,1.657714843750000000e+00
3.985290527343750000e+00,1.450500488281250000e+00,1.477966308593750000e+00,1.658325195312500000e+00
3.984375000000000000e+00,1.453552246093750000e+00,1.483764648437500000e+00,1.646728515625000000e+00
3.985900878906250000e+00,1.458740234375000000e+00,1.486816406250000000e+00,1.658325195312500000e+00
3.984069824218750000e+00,1.458740234375000000e+00,1.486511230468750000e+00,1.658935546875000000e+00
3.983154296875000000e+00,1.464538574218750000e+00,1.489257812500000000e+00,1.658325195312500000e+00
3.982849121093750000e+00,1.471862792968750000e+00,1.486511230468750000e+00,1.657409667968750000e+00
3.981933593750000000e+00,1.471252441406250000e+00,1.486816406250000000e+00,1.645812988281250000e+00
3.981323242187500000e+00,1.475524902343750000e+00,1.483154296875000000e+00,1.657104492187500000e+00
3.979797363281250000e+00,1.479797363281250000e+00,1.479187011718750000e+00,1.657714843750000000e+00
3.977661132812500000e+00,1.480102539062500000e+00,1.478576660156250000e+00,1.656799316406250000e+00
3.975830078125000000e+00,1.480712890625000000e+00,1.472778320312500000e+00,1.656799316406250000e+00
3.976745605468750000e+00,1.480407714843750000e+00,1.472167968750000000e+00,1.647338867187500000e+00
3.974914550781250000e+00,1.480102539062500000e+00,1.465759277343750000e+00,1.657409667968750000e+00
3.974609375000000000e+00,1.475219726562500000e+00,1.462402343750000000e+00,1.657104492187500000e+00
3.975524902343750000e+00,1.475830078125000000e+00,1.461791992187500000e+00,1.657714843750000000e+00
3.973083496093750000e+00,1.470947265625000000e+00,1.455688476562500000e+00,1.656799316406250000e+00
3.971862792968750000e+00,1.464233398437500000e+00,1.456298828125000000e+00,1.647338867187500000e+00
3.972473144531250000e+00,1.464538574218750000e+00,1.456909179687500000e+00,1.658020019531250000e+00
3.972167968750000000e+00,1.458435058593750000e+00,1.457824707031250000e+00,1.657714843750000000e+00
3.972473144531250000e+00,1.451721191406250000e+00,1.460571289062500000e+00,1.658630371093750000e+00
3.974609375000000000e+00,1.452331542968750000e+00,1.460876464843750000e+00,1.658325195312500000e+00
3.974609375000000000e+00,1.449890136718750000e+00,1.465454101562500000e+00,1.646728515625000000e+00
3.975219726562500000e+00,1.448974609375000000e+00,1.472778320312500000e+00,1.657714843750000000e+00
3.975219726562500000e+00,1.448059082031250000e+00,1.472167968750000000e+00,1.656799316406250000e+00
3.976440429687500000e+00,1.449584960937500000e+00,1.477966308593750000e+00,1.657714843750000000e+00
3.976440429687500000e+00,1.449890136718750000e+00,1.477966308593750000e+00,1.657104492187500000e+00
3.976745605468750000e+00,1.453552246093750000e+00,1.483154296875000000e+00,1.650390625000000000e+00
3.977355957031250000e+00,1.459655761718750000e+00,1.486816406250000000e+00,1.657714843750000000e+00
3.977966308593750000e+00,1.459045410156250000e+00,1.487731933593750000e+00,1.656494140625000000e+00
3.978271484375000000e+00,1.464538574218750000e+00,1.489257812500000000e+00,1.657714843750000000e+00
3.978271484375000000e+00,1.470031738281250000e+00,1.487426757812500000e+00,1.657104492187500000e+00
3.978576660156250000e+00,1.472167968750000000e+00,1.487426757812500000e+00,1.655273437500000000e+00
3.977050781250000000e+00,1.476440429687500000e+00,1.483459472656250000e+00,1.658020019531250000e+00
3.977661132812500000e+00,1.478881835937500000e+00,1.477966308593750000e+00,1.657104492187500000e+00
3.976440429687500000e+00,1.478881835937500000e+00,1.478271484375000000e+00,1.657409667968750000e+00
3.975830078125000000e+00,1.480102539062500000e+00,1.472167968750000000e+00,1.657409667968750000e+00
3.976135253906250000e+00,1.480102539062500000e+00,1.465148925781250000e+00,1.658325195312500000e+00
3.976440429687500000e+00,1.478576660156250000e+00,1.466674804687500000e+00,1.657714843750000000e+00
3.975219726562500000e+00,1.475524902343750000e+00,1.460571289062500000e+00,1.658020019531250000e+00
3.975830078125000000e+00,1.474609375000000000e+00,1.461181640625000000e+00,1.658020019531250000e+00
3.975219726562500000e+00,1.470336914062500000e+00,1.457214355468750000e+00,1.656799316406250000e+00
3.975830078125000000e+00,1.463928222656250000e+00,1.456909179687500000e+00,1.654663085937500000e+00
3.976135253906250000e+00,1.464233398437500000e+00,1.455688476562500000e+00,1.658020019531250000e+00
3.977966308593750000e+00,1.458435058593750000e+00,1.456298828125000000e+00,1.657104492187500000e+00
3.977661132812500000e+00,1.452941894531250000e+00,1.460266113281250000e+00,1.656799316406250000e+00
3.978881835937500000e+00,1.452636718750000000e+00,1.460266113281250000e+00,1.658020019531250000e+00
3.979187011718750000e+00,1.450500488281250000e+00,1.466064453125000000e+00,1.657409667968750000e+00
3.981933593750000000e+00,1.448669433593750000e+00,1.473083496093750000e+00,1.658630371093750000e+00
3.982849121093750000e+00,1.449279785156250000e+00,1.472167968750000000e+00,1.657409667968750000e+00
